ID,gender,name
8187860,female,"Astyoche (daughter of Phylas, mother of Tlepolemos)"
8189285,female,Pleione (daughter of Oceanos)
8189284,female,Pleiades (seven daughters of Atlas and Pleione)
8189287,male,Pleuron (son of Aitolos)
8189286,male,Pleisthenes (father of Agamemnon and Menelaos)
8189281,male,Pityocamptes (another name for Sinis)
8189280,male,Pittheus (son of Pelops)
8189283,male,Platon (son of Lycaon)
8189282,female,Placia (daughter of Otreus)
9369048,undefined,the Epigonoi (Sack Thebes in the generation after the Seven)
8188138,male,Dardanos (son of Zeus and Electra)
8188139,male,Dascylos (father of Lycos)
8188130,male,Daiphron (son of Aigyptos and Hephaistine)
8188131,male,Daisenor (suitor of Penelope)
8188132,male,Damasichthon (son of Niobe)
8188133,male,Damasippos (son of Icarios)
8188134,male,Damasistratos (king of Plataia)
8188135,male,Damastes (killed by Theseus)
8188136,male,Damastor (suitor of Penelope)
8188137,female,Danae (mother of Perseus)
8254033,undefined,Trachis() 541157
8188541,male,Horos (son of Lycaon)
9063139,undefined,Mount Ossa() 540993
8189199,male,Periphron (suitor of Penelope)
8189198,male,Periphetes (son of Hephaistos)
8190204,undefined,the Labyrinth (where Theseus kills the Minotaur)
8190201,undefined,the Sword of Aigeus()
8189191,male,Perimedes (son of Eurystheus)
8189190,male,Perileos (son of Icarios)
8189193,female,Perimede (daughter of Aiolos)
8189192,male,Perimedes (suitor of Penelope)
8189195,female,Periopis (daughter of Pheres)
8189194,female,Perimede (sister of Amphitryon)
8189197,male,Periphas (suitor of Penelope)
8189196,male,Periphas (son of Aigyptos)
8188224,female,Electra (Danaid)
8188225,female,Electra (Oceanid)
8188226,male,Electryon (son of Perseus)
8188227,female,Elephantis (mother of some Danaids)
8188220,male,Elatos (centaur)
8188221,male,Elatos (suitor of Penelope)
8188222,female,Electra (daughter of Atlas)
8188223,female,Electra (daughter of Agamemnon)
8188228,male,Elephenor (suitor of Helen)
8188229,male,Eleusis (king of Eleusis)
9055339,undefined,Pallene (Chalcidice) 491682
8189267,male,Phylacos (son of Deion)
8189266,male,Phthios (son of Lycaon)
8189265,female,Phthia (daughter of Niobe)
8189264,female,Phthia (concubine of Amyntor)
8189263,female,Phthia (mother of three sons by Apollo)
8189262,male,Phrontis (son of Phrixos)
8189261,male,Phrixos (son of Athamas)
8189260,male,Phrenios (suitor of Penelope)
